Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
132	482	0	0.806761192	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
133	485	0	0.812873019	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
134	488	0	0.818984847	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
135	490	0	0.825096674	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
136	494	0	0.831208501	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
137	496	0	0.837320328	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
138	499	0	0.843432156	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
139	502	0	0.849543983	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
140	504	0	0.85565581	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
141	508	0	0.861767637	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
142	510	0	0.867879464	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
143	513	0	0.873991292	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
144	516	0	0.880103119	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
145	518	0	0.886214946	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
146	522	0	0.892326773	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
147	524	0	0.8984386	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
148	527	0	0.904550428	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
149	530	0	0.910662255	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
150	532	0	0.916774082	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
151	536	0	0.922885909	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
152	538	0	0.928997737	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
153	541	0	0.935109564	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
154	544	0	0.941221391	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
155	547	0	0.947333218	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
156	550	0	0.953445045	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
157	553	0	0.959556873	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
158	556	0	0.9656687	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
159	558	0	0.971780527	0.0001	0.0001	0.0001	0.0001	4.06575815e-20	0	0	0	0	0	3
160	561	0	0.977892354	0.0001	0.0001	0.0001	0.0001	2.71050543e-20	0	0	0	0	0	3
161	564	0	0.984004181	0.0001	0.0001	0.0001	0.0001	2.71050543e-20	0	0	0	0	0	3
162	567	0	0.990116009	0.0001	0.0001	0.0001	0.0001	2.71050543e-20	0	0	0	0	0	3
163	570	0	0.996227836	0.0001	0.0001	0.0001	0.0001	2.71050543e-20	0	0	0	0	0	3
164	572	0	1.00233966	0.0001	0.0001	0.0001	0.0001	2.71050543e-20	1e-06	0	100	0	0	3
